Base_Term,Skill_Term,City,radius,indeed_url,new_jobs_count
Data Analytics,MCMC,"New York,NY",25,"http://www.indeed.com/jobs?q=MCMC+Data Analytics&l=New York,NY&radius=25",2
Data Scientist,Monte-Carlo Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Monte-Carlo Statistics+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Monte-Carlo Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Monte-Carlo Statistics+Data Analytics&l=New York,NY&radius=25",7
Data Scientist,multinomial modeling,"New York,NY",25,"http://www.indeed.com/jobs?q=multinomial modeling+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,multinomial modeling,"New York,NY",25,"http://www.indeed.com/jobs?q=multinomial modeling+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,MySQL,"New York,NY",25,"http://www.indeed.com/jobs?q=MySQL+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,MySQL,"New York,NY",25,"http://www.indeed.com/jobs?q=MySQL+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,neural nets,"New York,NY",25,"http://www.indeed.com/jobs?q=neural nets+Data Scientist&l=New York,NY&radius=25",2
Data Analytics,neural nets,"New York,NY",25,"http://www.indeed.com/jobs?q=neural nets+Data Analytics&l=New York,NY&radius=25",3
Data Scientist,nix,"New York,NY",25,"http://www.indeed.com/jobs?q=nix+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,nix,"New York,NY",25,"http://www.indeed.com/jobs?q=nix+Data Analytics&l=New York,NY&radius=25",1
Data Scientist,NoSQL,"New York,NY",25,"http://www.indeed.com/jobs?q=NoSQL+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,NoSQL,"New York,NY",25,"http://www.indeed.com/jobs?q=NoSQL+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Objective C,"New York,NY",25,"http://www.indeed.com/jobs?q=Objective C+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Objective C,"New York,NY",25,"http://www.indeed.com/jobs?q=Objective C+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Oracle,"New York,NY",25,"http://www.indeed.com/jobs?q=Oracle+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Oracle,"New York,NY",25,"http://www.indeed.com/jobs?q=Oracle+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Perl,"New York,NY",25,"http://www.indeed.com/jobs?q=Perl+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Perl,"New York,NY",25,"http://www.indeed.com/jobs?q=Perl+Data Analytics&l=New York,NY&radius=25",0
